nl_clip,regexp
"words that start with 'd',  followed by 'u'  and  'o' in between,  followed by 'sr'",[du].*(?:o|sr)
"words that start with 'ba','bh'  and  end with 'a','e','I'",(?:ba|bh).*[aeI]
"words that start with 'ba','bh'  and  end with 'I' or 'a'  followed by 'y' or 'yy'",(?:ba|bh).*(?:I|a|y|yy)
"words that start with 'm'  and  end with 't',  followed by one 'a' in between",m.*[ta]
"words that start with 'p'  and  end with 'x','z','g',  contain one or more 'l'",p.*[xzgl]
"words that start with 'b',  followed by one 'h'  and  end with 't'",[bh].*t
words that start with  'b'  and  end with 't',b.*t
words that start with 'bh'  and  end with 't',bh.*t
words that start with 'b' and followed by one or two 'h' ,b.*h
words that start with 'ba'  and  end with 't',ba.*t
words that start with 'b' and followed by one 'h' in between  and  end with 't',b.*h.*t
words that start with 'boha' and  and  end with 't',boha.*.*t
words that start with 'bo'  and  end with 't',bo.*t
words that start with 'farm' or 'frm' and  end with  'y',(?:farm|frm).*y
"words that start with 'farm' or 'frm' and  end with 'a','e' ,'I'",(?:farm|frm).*[aeI]
"words that start with 'fram', 'ferm' or 'farm' and  end with 'n'",(?:fram|ferm|farm).*n
words that start with 'f' or 'p'  and followed by 'may' in between,[fp].*may
words that start with 'in'  and followed by one 's'  and  one 'b',in.*s.*b
"words that start with 'sh'  and  end with 'm',  followed by one 'r'",sh.*[mr]
"words that start with 'h'  and  end with 'y' or 'I',  followed by 'm' in between",h.*[yIm]
"words that start with 'k',  followed by one 'r'  and  end with 'u' or 'o'",[kr].*[uo]
words that start with 'kh'  followed by one 'l'  and  end with 'n',(?:l|kh).*n
"words that start with 'p'  and  end with 'a',  followed by one 'd'",p.*[ad]
"words that start with 'kh'  and  end with 'sh',  followed by 'o' or 'a' in between",kh.*(?:o|a|sh)
"words that start with 's'  and followed by one 'h', and  end  ing with 'e' or 'I', not more than  four letters in total",s.*h.*[eI]
words that start with 'k'  and  end with 'r' and followed by vowel in between,k.*r.*
"words that start with 'k'  and followed by one 's', and  end  ing with 'y' or 'e'",k.*s.*[ye]
"words that start with 'm',  followed by one 'r'  and  end with 'I'",[mr].*I
"words that start with 'nah'  and  end with 'I','e' or 'n'",nah.*[Ien]
words that start with 'nh'  and  end with 'n',nh.*n
words that start with 'th' or 't'  and  end with 'y' or 'I',(?:t|th).*[yI]
"words that start with 'r'  and  end with 'y' , followed by one 'h'",r.*[yh]
"words that start with 'l'  and  end with 'I' or 'y' or 'h', followed by 'a' or 'e' in between",l.*[Iyhae]
words that start with 's'  followed by one 'k'  and  end with 'y' or 'I',[sk].*[yI]
words that start with 'hu'  and  end with 'a',hu.*a
words that start with 'h'  and  end with 'va' or 'wa',h.*(?:va|wa)
words that start with 'de'  followed by  'kh' or 'k' and  end with 'na',(?:k|de|kh).*na
words that start with 'da'  followed by  'kh' and  end with 'na',(?:da|kh).*na
words that start with 'd' and  end with 'khna',d.*khna
words that start with 'n'  followed by 'k' and  end  ing with 'I',[nk].*I
words that start with 'aa' or 'ay' and  end with 'n' or 'a',(?:aa|ay).*[na]
words that start with 'a' and  end with 'I' or 'y',a.*[Iy]
words that start with 'a' or 'aa' and  end with 'e',(?:a|aa).*e
words that start with 'm'  followed by 'hrb' or 'rb' in between,(?:m|hrb|rb)
words that start with 'ko'  and  followed by 'sh' or 's' inbetween and  end  ing with 's' or 'sh',ko.*(?:s|sh).*(?:s|sh)
words that start with 'j'  and followed by one 'g' and  end with 'a',j.*g.*a
words that start with 'jag' and  end with 'a' or 'h',jag.*[ah]
words that start with 'rah' and  end with 'y',rah.*y
"words that start with 'r' or 'rah' and  end with 'I','e' or 'y'",(?:r|rah).*[Iey]
"words that start with 'k'  and followed by 'k', 'n'  and  'r' in between",k.*[kn].*r
words that start with 'mj' and  end with 'a' or 'y',mj.*[ay]
words that start with 'muj' and  end with 'I' or 'h',muj.*[Ih]
words that start with 'muj' and  end with 'e' or 'y',muj.*[ey]
"words that start with 'l'  followed by 'a','e', or 'I'  and end with 'n'",[laeI].*n
three or four letter words that start with 'do' or 'du' and  end with 'a',(?:do|du).*a
words that start with 'do' or 'du'  and  end with 'ein',(?:do|du).*ein
words that start with 'dua' and  end with 'en' or 'in' ,dua.*(?:en|in)
"words that start with 'd'  and  end with 'ya',  followed by one 'n'",d.*(?:n|ya)
words that start with 'chaht' ,chaht
words that start with 't'  followed by 'y'  and  end with 'ar',[ty].*ar
words that start with 'w'  followed by 'es' or 'as' ,(?:w|es|as)
words that start with 'w' and  end with 'sa',w.*sa
words thagt start with 'we' and  end with 'a',we.*a
"words that start with 'h'  and  end with 'r',  followed by 'e' ,'u' ,'a' in between",h.*[reua]
words that start with 'la' and  end with 'ty' or 'ay',la.*(?:ty|ay)
words that start with 'lyt' and  end with 'I' or 'y',lyt.*[Iy]
words that start with 'l' and  end with 'te',l.*te
words that start with 'zab' and  end with 'dast',zab.*dast
words that start with 'zab'  followed by 'berd' or 'bard' and  end with 'st' or 'sth',(?:zab|berd|bard).*(?:st|sth)
words that start with 'zab'  and  one 'r'  followed by digit with and  end  ,zab.*r.*
words that start with 'z' and  end with  'brdst',z.*brdst
words that start with 'bta' and  end with 'n',bta.*n
words that start with 'bat' and  end with  'e' or 'n'  followed by  one 'I',bat.*[enI]
"words that start with 'k'  and  end with 'c','s' or 'x',  followed by 'I' ",k.*[csxI]
words that start with 'me' or 'ma' and  end with 'e'  followed by  one 'r',(?:me|ma).*[er]
"words that start with 'mer' and  end with 'y','I' or 'e'",mer.*[yIe]
words that start with 'm'  followed by  one 'r' and  end with 'y' or 'e',[mr].*[ye]
words that start with 'kami'  and  end with 'ab',kami.*ab
words that start with 'mehn' and  end with 't',mehn.*t
words that start with 'm'  followed by  'hn' and  end with 't',(?:m|hn).*t
words that start with 'm'  followed by 'nat'  and  end with 'a' or 'y',(?:m|nat).*[ay]
"words that start with 'ga' or 'ge' and  end with 'e','a' or 'I'",(?:ga|ge).*[eaI]
"words that start with 'gy' and  end with 'a','y' or 'I'",gy.*[ayI]
words that start with 'b'  followed by  'nan' and  end with 'y' or 'I',(?:b|nan).*[yI]
"words that start with 'banan' and  end with 'e','y'  ",banan.*[ey]
words that start with 'b' and  end with 'da',b.*da
words that start with 'b' and  end with 'ra',b.*ra
words that start with 'her'  and  end with 'an',her.*an
words that start with 'h' and  end with 'ran',h.*ran
words that start with 'k' or 'q' and  end with 'o'  followed by 'I',[kq].*[oI]
words that start with 'ky' and  end with 'n',ky.*n
words that start with 'ki' and  end with 'un',ki.*un
words that start with 'b'  and  end with 'rosa',b.*rosa
words that start with 'b'  followed by 'd' or 'r'  and  end with 'ao',[bdr].*ao
words that start with 'p'  and  end with 'ra',p.*ra
"words that start with 'p'  followed by 'r'  and  with 'e', 'a' or 'y'",[pr].*[eay]
words that start with 'h' muct followed by 'm'  and  end with 'sha',[hm].*sha
words that start with 'la'  followed by 'd' and  end with 'e' or 'y',(?:d|la).*[ey]
words that start with 'l'  followed by  'r'  and  end with 'y' or 'I',[lr].*[yI]
words that start with 'a'  followed by  'sh' or 'ch' and  end with 'a' or 'w',(?:a|sh|ch).*[aw]
words that start with 'a'  followed by  one 'h' and  end  ing with 'a' or 'e',[ah].*[ae]
words that start with 'hoja' and  end with 'y',hoja.*y
"words that start with 'hoja' and  end  ing with 'I','e' or 'n'",hoja.*[Ien]
words that start with 'de' and  end with 'kha',de.*kha
words that start with 'da' and  end with 'kha',da.*kha
words that start with 'd' and  end with 'kha',d.*kha
words that start with 'kh'  and  end with 'hish',kh.*hish
"words that start with 'k'  followed by 'ht'  and  end with 'a' ,'e' or 'y'",(?:k|ht).*[aey]
"words that start with 'a'  followed by 'ja'  and  end with 'e','I' or 'y'",(?:a|ja).*[eIy]
words that start wit 'm' followed by 'sib'  and  end with 't',(?:m|sib).*t
words that start with 'h'  and  end with 'mat' with any number of 'm'  and  'a',h.*(?:m|mat).*a
words that start with 'v' or 'w'  and  end with 'sta',[vw].*sta
words that start with 'peh' and  end with 'e' or 'y',peh.*[ey]
words that start with 'ph' and  end  ing with 'y' or 'a',ph.*[ya]
words that start with 'e' or 'a'  and  end with 'tmad',[ea].*tmad
words that start with 'b'  and followed by 'ta' and  end  ing with 'u' or 'o',b.*ta.*[uo]
words that start  and  end with any number of 'a'  and  'o' respectively  followed by a 'y' or 'w',.*a.*[oyw]
"words that start with 'b'  followed by 'th'  and  end with 'I','y' or 'n'",(?:b|th).*[Iyn]
words that start with 'd'  followed by another 'd' in between  and  end with 'y' or 'n',[dd].*[yn]
words that start with 'kh'  followed by 'lt' and  end  ing with 'y' or 'e',(?:kh|lt).*[ye]
words that start with 'in' or 'an'  followed by  a 'll' and  end with 'h',(?:in|an|ll).*h
words that start with 'a' or 'I'  followed by 'sh'  and  'll' and  end with 'h',(?:a|I|sh).*ll.*h
words that start with 'z' and  end with 'yada',z.*yada
words that start with 'z' and  end with 'da',z.*da
words that start with 'x' or 'z'  and  end with 'da',[xz].*da
words that start with 't' and  end with 'y'  followed by  one 'r',t.*[yr]
words that start with 'ter'  and  end  ing with 'e' or 'y',ter.*[ey]
words that start with 'bh'  and  followed by 'la' in between,bh.*la
words that start with 'ko' and  end with 'm',ko.*m
words that start  'qo' or 'qa'  and  end with 'm',(?:qo|qa).*m
words that start with ' and '  and  end with 'r',.*.*r
words that start with 'mel' and  end with 'e' or 'y',mel.*[ey]
words that start with 'mil' and  end with 'y' or 'e',mil.*[ye]
words that start with 'ist'  followed by one 'm'  and  end with 'l',(?:m|ist).*l
words that start with 'su' or 'so'  followed by  'k' and  'r' and  end with 'ia' or 'ya',(?:k|su|so).*r.*(?:ia|ya)
words that start with 'shokr' and  end with 'ya',shokr.*ya
words that start with 'shkr' and  end with 'ia' or 'ya',shkr.*(?:ia|ya)
words that start with 'shuk' and  end with 'ria',shuk.*ria
words that start with 'shukr' and  end with 'ya',shukr.*ya
words that start with 'shuk' and  end with 'a' or 'h',shuk.*[ah]
words that start with 'ch' and  end with 'x',ch.*x
words that start with 'che' and  end with 'z' or 'e',che.*[ze]
words that start with 'b'  followed by 'fi' and followed by 'k' or 'q'  and  end with 'r',(?:b|fi).*[kq].*r
words that start with 'b'  followed by one 'z'  and  end with 'rg',[bz].*rg
words that start with 'm'  followed by 'h'  and  'b'  and  end with 't',[mh].*b.*t
words that start 'jay',jay
words that start with 'ja' and  end with 'e' or 'I',ja.*[eI]
words that start with 'ta'  followed by one 'r'  and  end with 'f',(?:r|ta).*f
words that start with 'kh'  and  end with 'b',kh.*b
words that start with 'Is'  followed by 'me',(?:Is|me)
words that start wit 'is'  followed by 'may',(?:is|may)
words that start with 'is' and  end with 'n' or 'in' ,is.*(?:n|in)
words that start with 'm'  and  end with 'dad',m.*dad
words that start with 'da' and  end with 'khtay',da.*khtay
words that start with 'd' and  end with 'khte',d.*khte
words that start with 'de'  followed by  'kht'  and  end with 'y',(?:de|kht).*y
four letter words that start wit 'sh' and  end with 'r',sh.*r
words that start with 'sh' and  end with 'r'  followed by  'e' or 'a' in between,sh.*[rea]
words that start with 'sha' and  end with 'r' or 'e',sha.*[re]
words that start with 'tar' and  end with 'qi',tar.*qi
words that start with 'tarak' and  end with 'I',tarak.*I
words that start with 't' and  end with 'raqqi',t.*raqqi
words that start with 'ach' and  end with 'e',ach.*e
words that start with 'a' and  end with 'e' or 'I'  followed by  digit in between,a.*[eI]
words that start with 'ach' and  end with 'y' or 'e',ach.*[ye]
words that start with 'ach' and  end with 'y',ach.*y
words that start with 'h'  followed by 'g'  and  end with 'e' or 'I',[hg].*[eI]
words that start with 'd'  and  end with 'ti',d.*ti
words that start with 'bh' and  end with 'ye' or 'ay',bh.*(?:ye|ay)
"words that start with 'bho' and  end with 'ye' or 'ay' , 'u'",bho.*(?:u|ye|ay)
words that start with 'fa' or 'fy'  and  end with 'da',(?:fa|fy).*da
words that start with 'r'  followed by 'wa'  and  end with 'ya' or 'ye',(?:r|wa).*(?:ya|ye)
words that start with 'tare' and  end with 'ka',tare.*ka
words that start with 'tareek' and  end with 'y' or 'e',tareek.*[ye]
words that start with 'tariq' and  end with 'y',tariq.*y
words that start with 'tare' and  end with 'e' or 'y' mjst followed by  'eq',tare.*(?:e|y|eq)
words that start with 't' and  end with 'qa'  followed by  'ri' or 're',t.*(?:qa|ri|re)
words that start with 'p' or 'f'  followed by 'lan'  and  end with 'y',(?:p|f|lan).*y
"words that start with 'kh'  followed by 'sh'  and  end with 'I', 'y' or 'e'",(?:kh|sh).*[Iye]
words that start wih 'es' and  end with 'e' or 'y',es.*[ey]
words that start with 'a' or 'I' and  end with 'y'  followed by  one 's',[aI].*[ys]
words that start  and  end with 'a'  followed by  one 'la',.*(?:a|la)
words that start with 'a' and  end with 'a' or 'w'  followed by  one 'l' in between,a.*[awl]
words that start with 'k'  and  end with 'y' or 'e',k.*[ye]
words that start with 'm' or 'M'  followed by  'sha'  and  'allah',(?:m|M|sha).*allah
words that start with 'ma'  followed by  'sa' or 'sha' and  end with 'lah' or 'lh',(?:ma|sa|sha).*(?:lah|lh)
words that start with 'dyt' and  end with 'y' or 'I',dyt.*[yI]
words that start with 'da' or 'de' and  end with 'tay',(?:da|de).*tay
"words that start with 'l'  followed by  'ki' ,'ke' or 'ka' and  end with 'n'",(?:l|ki|ke|ka).*n
words that start with 'la' and  end with 'en' or 'in'  followed by  'k',la.*(?:k|en|in)
words that start with 'alh'  followed by 'md'  and  end with 'lillah',(?:alh|md).*lillah
words that start with 'm' must conain 'f'  and  end with 'd',[mf].*d
words that start with 'h'  followed by 'as' many as  and  end with 'a',(?:h|as).*a
words that start with 'j'  followed by 'og'  and  end with 'y',(?:j|og).*y
words that start with 'walikum'  and  followed by  'as' afterwards,walikum.*as
words that start with 'wa'  followed by  'kum'  and  'ass' in between,(?:wa|kum).*ass
words that start with 'w' and  end with 'salam',w.*salam
words that start with 'walekum' or 'Walekum' and  end with 'lam' or 'lm',(?:walekum|Walekum).*(?:lam|lm)
words that start with 'walaikum' and  end with 'lam' or 'laam',walaikum.*(?:lam|laam)
words that start with 'Wa'  followed by  'alikUm' ,(?:Wa|alikUm)
words that start with 'walikum' and  end with 'lam',walikum.*lam
words that start with 'p'  followed by 'h'  and  end with 'l',[ph].*l
words that start with 'As'  followed by  'lam'  and  end with 'kum' or 'kam',(?:As|lam).*(?:kum|kam)
words that start with 'ass'  followed by  'lam' and  end with 'kum' or 'km',(?:ass|lam).*(?:kum|km)
words that start with 's' or 'ss'  followed by  'lam' or 'lm' and  end with 'ikum',(?:s|ss|lam|lm).*ikum
words that start with 'assalam' and  end with 'kum',assalam.*kum
words that start with 'as'  followed by  'lam' and  end with 'ikum',(?:as|lam).*ikum
words that start with 'um' and  end with 'ed' or 'id',um.*(?:ed|id)
words that start with 'o'  followed by  one 'm' and  end with 'id' or 'ed',[om].*(?:id|ed)
words that start with 'kh'  followed by 'l'  and  end with 's',(?:l|kh).*s
words that start with 'mubar' and  end with 'k',mubar.*k
words that start with 'mub' or 'mb' and  end with 'k'  followed by  'br',(?:mub|mb).*(?:k|br)
four letter words that start with 't' and  end with 'k',t.*k
words that start with 'the' and  end with 'k',the.*k
words that start with 's'  followed by 'd' and followed by 'k' or 'q',[sd].*[kq]
words that start with 'b'  followed by 'n' and followed by 'I' or 'a'  and  end with 'a',[bn].*[Ia].*a
words that start with 'n'  followed by 'm'  and  't' and  end  ing with 'n',[nm].*t.*n
words that start with 'hu'  followed by  'w' and  end with 'e' or 'y',(?:w|hu).*[ey]
words that start with 'h'  followed by  'v' and  end with 'ay',[hv].*ay
words that start with 'mehs'  and  end with 's',mehs.*s
words that start with 'tauf' and  end with 'q',tauf.*q
words that start with 'tof' and  end with 'k' or 'q',tof.*[kq]
words that start with 'sum' or 'sm'  followed by  'jhay' and  end with 'e' or 'a',(?:sum|sm|jhay).*[ea]
words that start with 'samjha' and  end with 'I' or 'y',samjha.*[Iy]
words that start with 'm'  followed by 'z' or 'x'  and  end with 'd',[mzx].*d
words that start with 'b' and  end with 'shumar',b.*shumar
words that start with 'u' or 'o'  followed by 'mda',(?:u|o|mda)
words that start with 'p'  and  end with 'sh',p.*sh
words that start with 's'  followed by 'k'  and  'n' and  end with 'y',[sk].*n.*y
words that start with 'int'  followed by 'za'  and  end with 'r',(?:int|za).*r
words that start with 'p'  followed by 'rh'  and  end with 'I' or 'e',(?:p|rh).*[Ie]
words that start with 'b'  followed by 'n'  and  'ee' or 'aa',[bn].*(?:ee|aa)
words that start with 'beht'  followed by 'r'  and  end with 'n',(?:r|beht).*n
words that start with 'j'  and  end with 'sa',j.*sa
words that start with 'a' must cintain 'nkh'  and  end with 'I' or 'n',(?:a|nkh).*[In]
words that start with 'l' and followed by 'o'  and  end with 'g',l.*o.*g
words that start with 'p'  and  end with 'r' with total three or four letters,p.*r
words that start with 'm'  followed by 'g'  and  end with 'r',[mg].*r
words that start with 'b'  followed by 'dl'  and  edn with 'I' or 'y',(?:b|dl).*[Iy]
four letter words that start with 'd'  and followed by one 'n',d.*n
words that start with 'it'  followed by 'fa'  and  end with 'q',(?:it|fa).*q
four letter words that start with 'mo' ,mo
four letter words that start with 'mu',mu
"words that start with 'k'  followed by 'rw'  and  one 'y' and  end with 'e','y', 'n'",(?:k|rw).*y.*[eyn]
words that start with 'mang' and  end with 'e' or 'y',mang.*[ey]
words that start with 'z'  followed by 'r'  and  end with 'y' or 'e',[zr].*[ye]
words that start with 'p'  followed by 'rh'  and  end with 'n',(?:p|rh).*n
words that start with 's'  followed by 'u' or 'w'  and  end with 'k' or 'q',[suw].*[kq]
words that start with 'smust' and followed by 'yas'  and  end with 't',smust.*yas.*t
words that start with 'rah' and  end with 'y' or 'e'  followed by  'hi',rah.*(?:y|e|hi)
words thet start with 'r' and  end with 'yeh' or 'yei',r.*(?:yeh|yei)
words that start with 'p'  followed by  'y' and  end with 'ar',[py].*ar
four letter words that start with 'p' and  end with 'r',p.*r
words that start with 'y'  followed by 'k' or 'q'  and  end with 'een',[ykq].*een
words that start with 'sh'  followed by 'r'  and  end with 'f',(?:r|sh).*f
words that start with 'g'  followed by 're'  and  'bo',(?:g|re).*bo
words that start with 'd'  and  end with 'lat',d.*lat
words that start with 's'  and  followed by 'l' with and  end with 'k',s.*l.*k
words that start with 'mz' or 'maz' and  end with 'dar',(?:mz|maz).*dar
words that start with 'mazed' and  end with 'r',mazed.*r
words that start with 'dij' and  end with 'y',dij.*y
words that start with 'dej' or 'dij' and  end with 'ye' or 'ee',(?:dej|dij).*(?:ye|ee)
words that start with 'dej' and  end with 'yy' or 'e',dej.*(?:e|yy)
words that start with 'maz' and  end with 'ey' or 'iy',maz.*(?:ey|iy)
words that start with 'maz' and  end with 'e',maz.*e
words that start with 'm' and  end with 'y'  followed by  'z' in between,m.*[yz]
words that start with 'h' and  end with 'dayat',h.*dayat
words that start with 'mo' and  end with 'af' followed by  'k' or  'q' in between,mo.*(?:k|q|af)
words that start with 'm' and  end with 'qif' or 'qaf',m.*(?:qif|qaf)
words that start with 'tm' and  end with 'ry' or 'rai',tm.*(?:ry|rai)
words that start with 'tum' and  end with 'ea' or 'ay',tum.*(?:ea|ay)
"words that start with 'k'  followed by 'j'  and  end with 'e','y','a'",[kj].*[eya]
"words that start with 'g' and followed by 'h','a','y'  and  end with 'b'",g.*[hay].*b
"words that start with 'I' or 'e'  and followed by 'rad' and  end with 'e','a','y'",[Ie].*rad.*[eay]
words that start with 'w'  followed by 'g' and  end with 'ra',[wg].*ra
words that start with 'naz'  followed by 'ri' or 're' and  end with 'a' or 'h',(?:naz|ri|re).*[ah]
words that start with 'j'  followed by with least one 'w' and  end with 'b',[jw].*b
"words that start with 'pak'  followed by 'rn' and  end with 'e','a','y'",(?:pak|rn).*[eay]
words that start with 'ba' or 'bh'  followed by 'rhao',(?:ba|bh|rhao)
words that start with 'inho'  followed by another 'n' in between,(?:n|inho)
words that start with 'b'  followed by 'r'  and  end with 'hay',[br].*hay
words that start with 'aks'  followed by 'r'  and  end with 't',(?:r|aks).*t
words that start with 'z'  followed by 'm'  and  'da'  and  end with 'ri',[zm].*da.*ri
words that start with 'b'  followed by 'l' and  end with 'nd',[bl].*nd
words that start with 'j' and  end with 'th'  followed by one or two 'o' in between,j.*(?:o|th)
words that start with 'jh' and  end with 't',jh.*t
"words that start with 'sa'  followed by 'l'  and  end with 'ht', 'th' or 't'",(?:l|sa).*(?:t|ht|th)
words that start with 'g'  followed by  'l' and  end with 't',[gl].*t
words that start with 'ghal' and  end with 't',ghal.*t
words that start with 'h'  followed by 'k' and  end with 'mat',[hk].*mat
words that start with 'zar' and  end with 'orat',zar.*orat
words that start with 'zar' or 'zr' and  end with 'th' or 'at',(?:zar|zr).*(?:th|at)
"words that start with 'ko' and  end with 'e','I'",ko.*[eI]
words that start with 'm'  followed by 'z'  and  'l' and followed by with least one 'o' or 'u' and  end with 'm',[mz].*l.*[ou].*m
words that start with 'd' and followed by 'u' or 'a'  and  end with 'r'  and  end with 'st' or 'sat',d.*[ua].*r.*(?:st|sat)
words that start with 'm'  followed by 'z'  and  end with 'k' or 'qw',[mz].*(?:k|qw)
words that start with 'utha' and  end with 'y' or 'a',utha.*[ya]
words that start with 'bay' and  end with 'e' or 'y',bay.*[ey]
words that start with 'bech' and  end with 'e' or 'y',bech.*[ey]
words that start with 'p' and  end with 'yaray',p.*yaray
words that start with 'p'  followed by  'yar' and  end with 're' or 'ry',(?:p|yar).*(?:re|ry)
words that start with 'chal' and  end with 'in',chal.*in
words that start with 'ch' and  end with 'y'  followed by  'l',ch.*[yl]
six letter words that start with 'chal' and  end with 'n',chal.*n
words that start with 'ch' and  end with 'lye',ch.*lye
words that start with 'chal' and  end with 'ye',chal.*ye
words that start with 'b' and  end with 'k'  followed by  'l',b.*[kl]
words that start with 'balk',balk
words that start with 'kha'  followed by  'n' and  end with 'y',(?:n|kha).*y
"words that start with 'kha' and  end with 'nai','ne' or 'nye'",kha.*(?:nai|ne|nye)
"words that start with 'kah' and  end with 'y','e'",kah.*[ye]
"words that start with 'd' and followed by 'a','e','y','I'  and  end with 'na'",d.*[aeyI].*na
words that start with 'kha'  followed by  't' and  end with 'I' or 'y',(?:t|kha).*[Iy]
words that start with 'milt' and  end with 'e' or 'y',milt.*[ey]
words that start with 'r'  followed by 'hn'  and  end with  'yi' or 'ye',(?:r|hn).*(?:yi|ye)
words that start with 'bag' and followed by 'a' or 'e' and  end with 'r',bag.*[ae].*r
words that start with 'kar' and  end with 'n',kar.*n
words that start with 'b'  followed by 'r'  and  'ha' and  end with 'y' or 'e',[br].*ha.*[ye]
words that start with 'kam'  and followed by  'zor' or 'zur' in between,kam.*(?:zor|zur)
words that start with 'sho'  and followed by  one 'r',sho.*r
words that start with 'gh'  and  end with 's',gh.*s
words that start with 'mar' and  end with 'y' or 'n',mar.*[yn]
words that start with 'b'  followed by  'kt' or 'gt' and  end with 'y' or 'e',(?:b|kt|gt).*[ye]
words that start with 'muq' or 'maq' and  end with 'dar',(?:muq|maq).*dar
words that start with  'q' and  end with 'm',q.*m
words that start with 'k' and  end with 'm',k.*m
words that start with 'may' and  end with 's',may.*s
words that start with 'p' and  end with  'shani',p.*shani
words that start with 'p'  followed by  'shan' with and  end  ,(?:p|shan).*
words that start with 'gh' or 'g'  followed by  one 'r'  and  end with 'b' or 'I',(?:g|r|gh).*[bI]
words that start with 'g'  followed by  't' and  end with 'a',[gt].*a
words that start with 'g' and  end with 'pla',g.*pla
words that start with 'g'  followed by  two 'r's with any number of 'u'  and  'o' in between them,[gru].*o
words that start with 'd'  followed by  'kh' and  end with 'wa',(?:d|kh).*wa
words that start with 'g' and  end with 'nah',g.*nah
words that start with 'sh'  followed by  one 'r'  and  end with 'm',(?:r|sh).*m
words that start with 'ch' and  end with 'mcha',ch.*mcha
words that start with  'b'  followed by  'g' and  end with 'rat' or 'ret' or 'rt',[bg].*(?:rat|ret|rt)
"words that start with 'b'  followed by  'g' ,'h',  and  'r' and  end with 'I'",[bgh].*r.*I
words that start with 'zi' and  end with 'ti' or 'dti',zi.*(?:ti|dti)
words that start with 'aa' or 'a' might followed by  'ns'  and  end with 'su' or 'soo' may followed by 'n',(?:a|aa|ns).*(?:n|su|soo)
words that start with 'z' and  end with 'da' or 'dah',z.*(?:da|dah)
words that start with 'z'  followed by  two 'r's in between and  end with 't',[zr].*t
words that start with 'z' and  end with 'ri' and followed by  another 'r' in between,z.*ri.*r
words that start with 'd'  followed by  'mag' of 'mak' may and  end with 'h',(?:d|mag|mak).*h
words that start with 'b' and  end with 'l'  followed by  'o' or 'u' in between,b.*[lou]
words that start with 'ch' or 'sh'  followed by  'ot',(?:ch|sh|ot)
words that start with 't'  followed by  'or' and  end with 'do',(?:t|or).*do
words that start with 'b'  followed by  'sub' or 'sab' in between,(?:b|sub|sab)
words that start with 'm'  followed by  's'  and  end with 'kil' or 'kal' or 'kel',[ms].*(?:kil|kal|kel)
words that start with 'n' and  end with 'cha' ,n.*cha
words that start with 'd'  followed by  'y' or  'I' in between and  end with 'an',[dyI].*an
words that start with 'b'  followed by  'cha' in between  and  end with 'ni',(?:b|cha).*ni
words that start with 'eh' or 'ah'  followed by  'sa' and  end with 'n',(?:eh|ah|sa).*n
words that start with 'g'  followed by  's' or 'ss' in between and  end with 'a' or 'ah',(?:g|s|ss).*(?:a|ah)
words that start with 'g'  followed by  's' or 'ss' in between and  end with 'e' or 'y',(?:g|s|ss).*[ey]
words that start with 'la' and  end with 'chi',la.*chi
words that start with 'il' or 'el' and  end with 'ja' or 'jah',(?:il|el).*(?:ja|jah)
words that start with 'mag'  followed by  'g'  and  two 'r's,(?:g|mag).*r
words that start with 'bad' or 'bd'  followed by  'ni' or 'ne' or 'ny' before and  end  ing with 't',(?:bad|bd|ni|ne|ny).*t
words that start with 'a' or 'o'  followed by  'k' and  end with 'at',[aok].*at
words that start with 'g'  followed by  'l' in between and  end with 'ti' or 'ty',[gl].*(?:ti|ty)
"words that start with 'b'  followed by  'char' and  end with 'I', 'e' or 'y'",(?:b|char).*[Iey]
words that start with 'kh'  followed by  'la' and  end with 'af' ,(?:kh|la).*af
words that start with 'ga'  followed by  'li' and  end with 'an',(?:ga|li).*an
"words that start with 'd'  followed by  'rn' and  end with 'a' ,'e' or 'y'",(?:d|rn).*[aey]
words that start with 'm'  followed by  'jb' and  end with 'ri',(?:m|jb).*ri
words that start with 'I' or 'e'  followed by  'z' and  end with 't',[Iez].*t
words that start with 'adh' and  end with 'ri',adh.*ri
words that start with 'b'  followed by  'g' and  end with 'er' or 'ir',[bg].*(?:er|ir)
words that start with 'sh'  followed by  't' and  end with 'an',(?:t|sh).*an
words that start with 'm'  followed by  'nh' and  end with 's',(?:m|nh).*s
words that start with 's'  followed by  'fa' and  end with 'rish',(?:s|fa).*rish
words that start with 'hat'  followed by  'y' and  end with 'ar',(?:y|hat).*ar
words that start with 'kh' and  end with 'f',kh.*f
words that start with 'ka' and  end with 'ti'  followed by  'np' or 'mp' in between,ka.*(?:ti|np|mp)
words that start with 'mart' and  end  t with 'y' or 'I',mart.*[yI]
words that start with 'b'  followed by  'r' in between and  end with 'a',[br].*a
words that start with 'ch' followed by  another 'h' in between and  end with 'e' or 'y' or 'a',(?:h|ch).*[eya]
words that start with 'b' and  end with 'zat' or 'zatt',b.*(?:zat|zatt)
words that start with 'b'  followed by  'z' or 's' in between and  end with 'ti' or 'tii',[bzs].*(?:ti|tii)
words that start with 'zal' and  end with 'l',zal.*l
words that start with 'r'  followed by  's' in between and  end with 'va' or 'wa',[rs].*(?:va|wa)
words that start with 'tanq' and  end with 'd',tanq.*d
words that start with 'g'  followed by  'si' or 'se' in between and  end with 'ta',(?:g|si|se).*ta
words that start with 'm'  followed by  'z' or 'j' in between and  end with 'k' or 'q',[mzj].*[kq]
